memberid,schemeid,levelid,sec_type,sec_parameter,created,updated,group_sec_parameter
13164,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:16:52.9995Z,2023-11-14T10:16:52.9995Z,Active-People
11775,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:27:19.897171Z,2023-11-14T09:27:19.897171Z,Active-People
13560,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:31:16.958879Z,2023-11-14T10:31:16.958879Z,Active-People
11310,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:06:36.726769Z,2023-11-14T09:06:36.726769Z,Active-People
11637,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:19:45.665622Z,2023-11-14T09:19:45.665622Z,Active-People
11000,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:56:25.396645Z,2023-11-14T08:56:25.396645Z,Active-People
14265,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:11:50.606804Z,2023-11-14T11:11:50.606804Z,Active-People
14805,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:02:48.264814Z,2023-11-14T12:02:48.264814Z,Active-People
11283,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:05:44.927477Z,2023-11-14T09:05:44.927477Z,Active-People
13866,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:43:46.736277Z,2023-11-14T10:43:46.736277Z,Active-People
12237,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:43:05.410434Z,2023-11-14T09:43:05.410434Z,Active-People
13335,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:22:59.398559Z,2023-11-14T10:22:59.398559Z,Active-People
10119,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:19:23.030301Z,2023-11-14T08:19:23.030301Z,Active-People
15330,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:42:48.861775Z,2023-11-14T12:42:48.861775Z,Active-People
13047,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:13:32.609541Z,2023-11-14T10:13:32.609541Z,Active-People
14814,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:04:10.010554Z,2023-11-14T12:04:10.010554Z,Active-People
10721,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:45:15.201224Z,2023-11-14T08:45:15.201224Z,Active-People
15720,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T13:23:12.361106Z,2023-11-14T13:23:12.361106Z,Active-People
14274,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:12:40.808398Z,2023-11-14T11:12:40.808398Z,Active-People
11526,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:14:56.30372Z,2023-11-14T09:14:56.30372Z,Active-People
10874,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:51:29.727179Z,2023-11-14T08:51:29.727179Z,Active-People
11973,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:34:43.527904Z,2023-11-14T09:34:43.527904Z,Active-People
13569,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:31:37.914005Z,2023-11-14T10:31:37.914005Z,Active-People
14823,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:04:36.085549Z,2023-11-14T12:04:36.085549Z,Active-People
10218,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:24:18.247439Z,2023-11-14T08:24:18.247439Z,Active-People
13875,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:43:55.086355Z,2023-11-14T10:43:55.086355Z,Active-People
12246,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:43:31.597938Z,2023-11-14T09:43:31.597938Z,Active-People
11391,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:10:04.761698Z,2023-11-14T09:10:04.761698Z,Active-People
14283,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:14:16.050995Z,2023-11-14T11:14:16.050995Z,Active-People
15603,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T13:08:31.266355Z,2023-11-14T13:08:31.266355Z,Active-People
15528,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:59:49.590971Z,2023-11-14T12:59:49.590971Z,Active-People
14832,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:05:04.207573Z,2023-11-14T12:05:04.207573Z,Active-People
11784,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:27:23.739186Z,2023-11-14T09:27:23.739186Z,Active-People
12786,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:03:27.860502Z,2023-11-14T10:03:27.860502Z,Active-People
13173,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:17:17.579192Z,2023-11-14T10:17:17.579192Z,Active-People
13344,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:23:32.355919Z,2023-11-14T10:23:32.355919Z,Active-People
15501,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:57:40.30512Z,2023-11-14T12:57:40.30512Z,Active-People
11009,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:56:39.111058Z,2023-11-14T08:56:39.111058Z,Active-People
14292,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:15:39.711517Z,2023-11-14T11:15:39.711517Z,Active-People
14841,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:05:54.51778Z,2023-11-14T12:05:54.51778Z,Active-People
13884,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:44:20.666391Z,2023-11-14T10:44:20.666391Z,Active-People
13578,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:31:44.248842Z,2023-11-14T10:31:44.248842Z,Active-People
12255,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:43:54.160819Z,2023-11-14T09:43:54.160819Z,Active-People
11982,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:35:05.885441Z,2023-11-14T09:35:05.885441Z,Active-People
10325,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:28:43.477397Z,2023-11-14T08:28:43.477397Z,Active-People
15675,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T13:16:06.05584Z,2023-11-14T13:16:06.05584Z,Active-People
10271,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:25:39.557386Z,2023-11-14T08:25:39.557386Z,Active-People
15159,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:29:29.049886Z,2023-11-14T12:29:29.049886Z,Active-People
15630,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T13:12:43.061124Z,2023-11-14T13:12:43.061124Z,Active-People
14301,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:15:42.269176Z,2023-11-14T11:15:42.269176Z,Active-People
10784,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:47:36.990569Z,2023-11-14T08:47:36.990569Z,Active-People
15150,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:28:40.7238Z,2023-11-14T12:28:40.7238Z,Active-People
11238,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:04:32.376345Z,2023-11-14T09:04:32.376345Z,Active-People
13893,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:44:30.291565Z,2023-11-14T10:44:30.291565Z,Active-People
